78.193.46.209,43.6175,3.8485,12322,17221
81.133.149.212,51.7385,-0.2985,2856,14682
89.100.162.3,53.3315,-6.2505,6830,10749
46.127.87.219,47.4475,8.4315,6830,20491
87.16.154.175,41.2195,13.9995,3269,22144
92.217.113.142,48.1295,11.5375,3209,11815
86.242.86.64,48.8615,2.1985,3215,17039
82.66.62.161,48.8875,2.4105,12322,16670
185.8.92.22,51.5085,0.0015,199659,14083
87.168.152.27,51.2015,9.7275,3320,12118
78.235.86.138,43.6415,5.1005,12322,23169
185.51.184.9,47.6015,8.1475,6830,17308
80.62.117.139,55.6875,12.4915,3292,20191
78.205.237.13,49.0305,1.2415,12322,21596
86.249.112.90,48.8615,2.1985,3215,17039
178.2.193.160,50.7785,6.0895,3209,15853
88.122.232.57,42.4775,2.6585,12322,17230
81.148.116.43,52.0515,1.1375,2856,22519
80.62.117.174,55.6875,12.4915,3292,20191
46.7.4.149,53.3315,-6.2615,6830,22038
87.168.147.21,51.2015,9.7275,3320,12118
92.249.150.50,47.5505,21.6095,20845,10056
5.102.48.6,49.9585,14.0505,198420,14973
185.19.100.57,52.3505,4.8295,260,20056
62.221.41.202,50.4305,30.5415,12883,22687
197.96.250.2,-15.7895,34.9975,3741,13806
2.228.138.62,41.0075,14.2185,12874,20230
197.96.8.2,-29.6125,28.2275,3741,13810
109.255.1.9,53.3285,-6.2195,6830,21263
79.19.236.145,41.8185,12.4905,3269,15173
86.249.191.19,49.0505,2.3405,3215,15977
132.68.2.75,32.7795,35.0205,378,17875
78.219.157.107,45.9515,6.0915,12322,12099
80.12.94.92,48.8895,2.3505,3215,22065
2.107.72.122,55.6785,12.5685,3292,22022
80.108.219.71,48.1515,16.2875,6830,13919
88.179.139.49,48.4785,2.5605,12322,17072
62.244.87.154,49.2585,2.4595,8565,13442
87.168.147.84,51.2015,9.7275,3320,12118
132.70.248.150,32.0705,34.8395,378,17846
95.141.32.116,45.4815,9.0995,49367,19249
83.81.157.187,51.5275,4.2795,9143,12341
80.62.116.110,55.6875,12.4915,3292,20191
78.217.172.51,43.8185,1.7305,12322,17263
109.255.123.197,53.3375,-6.2715,6830,15420
5.102.51.50,49.9585,14.0505,198420,14973
78.232.186.79,48.2115,-1.5095,12322,17279
194.204.61.125,59.4405,24.7485,2586,19936
86.156.203.87,51.6385,-0.6985,2856,11983
88.167.64.190,46.3115,4.8385,12322,12438
78.226.194.149,48.6785,2.4975,12322,16813
185.21.24.3,40.8305,17.3575,199324,19306
77.48.236.1,49.6105,16.5985,6830,22027
77.84.185.25,50.6385,3.0315,35632,21292
87.168.151.183,51.2015,9.7275,3320,12118
87.168.140.158,51.2015,9.7275,3320,12118
91.149.136.72,53.8575,27.6115,31143,11191
82.246.181.55,45.7185,5.1685,12322,16823
89.101.106.27,53.3375,-6.2625,6830,20511
212.201.131.75,48.9995,12.0895,680,12944
213.220.203.55,50.0785,14.4685,6830,11433
71.174.189.138,42.3715,-71.1125,701,13109
81.148.97.224,52.0515,1.1375,2856,22519
87.168.133.144,51.2015,9.7275,3320,12118
88.179.61.76,43.5795,7.0215,12322,20295
88.127.221.79,45.4405,6.0115,12322,13696
82.239.20.72,43.5975,1.4375,12322,12800
86.176.241.214,50.9375,-1.2005,2856,10151
87.168.146.252,51.2015,9.7275,3320,12118
90.79.123.57,49.0505,2.3405,3215,15977
82.53.149.94,41.8185,12.4905,3269,15173
91.201.56.3,47.1595,8.4375,51395,21414
91.201.56.3,47.1575,8.4405,51395,22461
94.112.19.136,50.0505,14.4485,6830,20236
67.148.180.174,39.7395,-104.9885,209,21195
93.99.205.112,50.3015,15.8705,6830,18678
95.91.214.215,52.4175,13.4485,31334,16921
87.16.155.183,41.2195,13.9995,3269,22144
190.122.105.30,18.4685,-69.9495,27887,21162
202.22.158.100,-22.2505,166.4505,56089,17164
168.167.100.14,-24.6525,25.9095,14988,19550
94.112.222.214,50.7715,15.0575,6830,16718
80.62.117.165,55.6875,12.4915,3292,20191
86.249.231.141,48.8615,2.1985,3215,17039
78.192.150.96,48.8575,2.3605,12322,22370
176.118.152.22,53.8505,27.4515,49711,19997
87.4.127.70,41.2195,13.9995,3269,22144
80.232.21.74,59.95,10.75,,
109.255.163.213,53.3331,-6.2489,,
79.30.182.137,45.35,11.8667,,
91.187.76.148,42.5,1.5167,,
88.174.10.240,48.3667,-4.65,,
82.231.143.8,47.2709,-1.6219,,
78.193.194.117,48.8709,2.3561,,
212.185.87.38,50.4171,9.5649,,
88.177.226.112,43.4549,5.4691,,
89.71.47.56,54.5,18.55,,
62.157.117.194,51.0,9.0,,
79.24.180.2,45.35,11.8667,,
217.138.8.179,51.5144,-0.0941,,
